POI_ID,FAC_TYPE,POI_NAME,IN_VICIN,POINT_X,POINT_Y,FAC_NAME,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG
"1154615115","5800",ARIPO,N,-9.17338,38.75129,Restaurante,"1106","39","013","02","11063901302","022406",Lisboa
"998751311","5800",LINHA D'ÁGUA,N,-9.15504,38.73206,Restaurante,"1106","50","006","02","11065000602","022406",Lisboa
"998751303","5800",GOA,N,-9.16139,38.7278,Restaurante,"1106","10","012","01","11061001201","022406",Lisboa
"998751300","5800",ELEVEN,N,-9.15615,38.73114,Restaurante,"1106","50","006","02","11065000602","022406",Lisboa
"1130801587","5800",CHAFARIZ DO VINHO,N,-9.1471,38.7169,Restaurante,"1106","45","005","05","11064500505","022406",Lisboa
"1122836975","5800",O NORTENHO,N,-9.1682,38.74081,Restaurante,"1106","10","001","01","11061000101","022406",Lisboa
"842821083","5800",MCDONALD'S,N,-9.13924,38.71431,Restaurante,"1106","31","001","05","11063100105","022406",Lisboa
"69992523","5800",DELFIM,N,-9.15117,38.71951,Restaurante,"1106","46","007","02","11064600702","022406",Lisboa
"69992667","5800",SUA EXCELÊNCIA,N,-9.16192,38.70618,Restaurante,"1106","26","008","05","11062600805","022406",Lisboa
"69992508","5800",CANTINHO DAS TRINAS,N,-9.15707,38.7086,Restaurante,"1106","37","003","02","11063700302","022406",Lisboa
"67174940","5800",A CONCHA,N,-9.10106,38.74236,Restaurante,"1106","21","035","04","11062103504","022406",Lisboa
"67195496","5800",ORIENTE,N,-9.09785,38.76902,Restaurante,"1106","33","033","04","11063303304","022406",Lisboa
"1164970277","5800",OS TEMPLÁRIOS,N,-9.17226,38.75095,Restaurante,"1106","39","013","02","11063901302","022406",Lisboa
"69992529","5800",O FORCADO,N,-9.14578,38.71417,Restaurante,"1106","28","001","06","11062800106","022406",Lisboa
"1143826145","5800",CHEFE GAGO,N,-9.14471,38.73194,Restaurante,"1106","44","023","01","11064402301","022406",Lisboa
